,FIPS,State,"County, State",2019 Food Insecurity Rate,# of Food Insecure Persons in 2019,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2019 Child food insecurity rate,# of Food Insecure Children in 2019,% food insecure children in HH w/ HH incomes below 185 FPL in 2019,% food insecure children in HH w/ HH incomes above 185 FPL in 2019,2019 Cost Per Meal,2019 Weighted Annual Food Budget Shortfall
1419,28037,MS,"Franklin County, Mississippi",0.169,1310,1.3,SNAP,1.85,Other Nutrition Program,0.55,0.186,0.263,0.196,360,0.77,0.23,3.01,673000
1420,28039,MS,"George County, Mississippi",0.194,4650,1.3,SNAP,1.85,Other Nutrition Program,0.519,0.183,0.298,0.197,1250,1.0,0.0,2.98,2366000
1421,28041,MS,"Greene County, Mississippi",0.195,2660,1.3,SNAP,1.85,Other Nutrition Program,0.309,0.081,0.61,0.215,570,0.58,0.42,3.24,1474000
1422,28043,MS,"Grenada County, Mississippi",0.188,3960,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.13,0.295,0.244,1220,0.72,0.28,3.15,2133000
1423,28045,MS,"Hancock County, Mississippi",0.191,8950,1.3,SNAP,1.85,Other Nutrition Program,0.486,0.169,0.345,0.205,2020,0.9,0.1,3.2,4902000
1424,28047,MS,"Harrison County, Mississippi",0.192,39200,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.132,0.33,0.217,10690,0.83,0.17,3.19,21374000
1425,28049,MS,"Hinds County, Mississippi",0.157,37490,1.3,SNAP,1.85,Other Nutrition Program,0.63,0.014,0.356,0.229,13400,0.51,0.49,3.31,21213000
1426,28051,MS,"Holmes County, Mississippi",0.262,4640,1.3,SNAP,1.85,Other Nutrition Program,0.822,0.178,0.0,0.373,1710,0.65,0.35,3.19,2533000
1427,28053,MS,"Humphreys County, Mississippi",0.247,2070,1.3,SNAP,1.85,Other Nutrition Program,0.861,0.139,0.0,0.385,870,0.63,0.37,3.08,1089000
1428,28055,MS,"Issaquena County, Mississippi",0.294,400,1.3,SNAP,1.85,Other Nutrition Program,0.631,0.152,0.217,0.425,80,1.0,0.0,3.1,212000
1429,28057,MS,"Itawamba County, Mississippi",0.17,3980,1.3,SNAP,1.85,Other Nutrition Program,0.401,0.317,0.283,0.154,790,1.0,0.0,2.89,1967000
1430,28059,MS,"Jackson County, Mississippi",0.178,25290,1.3,SNAP,1.85,Other Nutrition Program,0.458,0.16,0.382,0.189,6340,0.81,0.19,3.35,14494000
1431,28061,MS,"Jasper County, Mississippi",0.173,2850,1.3,SNAP,1.85,Other Nutrition Program,0.642,0.02,0.338,0.263,990,0.6,0.4,2.97,1448000
1432,28063,MS,"Jefferson County, Mississippi",0.248,1790,1.3,SNAP,1.85,Other Nutrition Program,0.737,0.263,0.0,0.408,690,0.67,0.33,3.02,923000
1433,28065,MS,"Jefferson Davis County, Mississippi",0.185,2100,1.3,SNAP,1.85,Other Nutrition Program,0.675,0.112,0.213,0.26,590,0.7,0.3,3.04,1092000
1434,28067,MS,"Jones County, Mississippi",0.185,12640,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.146,0.294,0.218,3780,0.84,0.16,3.05,6595000
1435,28069,MS,"Kemper County, Mississippi",0.207,2060,1.3,SNAP,1.85,Other Nutrition Program,0.654,0.202,0.144,0.331,620,0.73,0.27,3.07,1080000
1436,28071,MS,"Lafayette County, Mississippi",0.159,8510,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.115,0.347,0.139,1370,0.78,0.22,3.71,5394000
1437,28073,MS,"Lamar County, Mississippi",0.168,10390,1.3,SNAP,1.85,Other Nutrition Program,0.491,0.159,0.35,0.167,2590,0.88,0.12,3.16,5615000
1438,28075,MS,"Lauderdale County, Mississippi",0.187,14250,1.3,SNAP,1.85,Other Nutrition Program,0.571,0.131,0.298,0.231,4160,0.73,0.27,3.05,7430000
1439,28077,MS,"Lawrence County, Mississippi",0.183,2310,1.3,SNAP,1.85,Other Nutrition Program,0.541,0.131,0.328,0.215,660,0.79,0.21,2.94,1162000
1440,28079,MS,"Leake County, Mississippi",0.21,4780,1.3,SNAP,1.85,Other Nutrition Program,0.659,0.099,0.243,0.263,1600,0.74,0.26,2.83,2309000
1441,28081,MS,"Lee County, Mississippi",0.16,13570,1.3,SNAP,1.85,Other Nutrition Program,0.455,0.188,0.357,0.168,3640,0.75,0.25,2.85,6615000
1442,28083,MS,"Leflore County, Mississippi",0.221,6460,1.3,SNAP,1.85,Other Nutrition Program,0.731,0.269,0.0,0.307,2500,0.59,0.42,3.01,3320000
1443,28085,MS,"Lincoln County, Mississippi",0.18,6180,1.3,SNAP,1.85,Other Nutrition Program,0.527,0.084,0.389,0.199,1640,0.74,0.26,3.06,3229000
1444,28087,MS,"Lowndes County, Mississippi",0.168,9960,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.091,0.383,0.204,2850,0.69,0.31,3.25,5542000
1445,28089,MS,"Madison County, Mississippi",0.119,12470,1.3,SNAP,1.85,Other Nutrition Program,0.375,0.114,0.511,0.122,3200,0.65,0.35,3.31,7056000
1446,28091,MS,"Marion County, Mississippi",0.201,5010,1.3,SNAP,1.85,Other Nutrition Program,0.583,0.181,0.236,0.23,1320,0.8,0.2,2.92,2500000
1447,28093,MS,"Marshall County, Mississippi",0.155,5520,1.3,SNAP,1.85,Other Nutrition Program,0.572,0.069,0.359,0.223,1700,0.74,0.26,2.72,2565000
1448,28095,MS,"Monroe County, Mississippi",0.166,5910,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.135,0.327,0.19,1540,0.83,0.18,2.89,2920000
1449,28097,MS,"Montgomery County, Mississippi",0.204,2060,1.3,SNAP,1.85,Other Nutrition Program,0.678,0.04,0.283,0.313,720,0.66,0.34,3.06,1078000
1450,28099,MS,"Neshoba County, Mississippi",0.216,6340,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.115,0.235,0.248,2010,0.89,0.11,2.93,3180000
1451,28101,MS,"Newton County, Mississippi",0.2,4260,1.3,SNAP,1.85,Other Nutrition Program,0.604,0.132,0.264,0.245,1330,0.81,0.19,2.76,2009000
1452,28103,MS,"Noxubee County, Mississippi",0.208,2230,1.3,SNAP,1.85,Other Nutrition Program,0.695,0.305,0.0,0.313,840,0.61,0.4,3.19,1215000
1453,28105,MS,"Oktibbeha County, Mississippi",0.185,9160,1.3,SNAP,1.85,Other Nutrition Program,0.693,0.036,0.271,0.182,1570,0.69,0.31,3.31,5189000
1454,28107,MS,"Panola County, Mississippi",0.178,6070,1.3,SNAP,1.85,Other Nutrition Program,0.693,0.102,0.205,0.23,1970,0.74,0.26,3.13,3252000
1455,28109,MS,"Pearl River County, Mississippi",0.183,10100,1.3,SNAP,1.85,Other Nutrition Program,0.462,0.162,0.376,0.182,2260,0.82,0.18,3.17,5481000
1456,28111,MS,"Perry County, Mississippi",0.202,2430,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.168,0.225,0.227,630,0.92,0.08,3.08,1281000
1457,28113,MS,"Pike County, Mississippi",0.216,8540,1.3,SNAP,1.85,Other Nutrition Program,0.654,0.037,0.309,0.287,2990,0.63,0.37,2.96,4322000
1458,28115,MS,"Pontotoc County, Mississippi",0.173,5460,1.3,SNAP,1.85,Other Nutrition Program,0.584,0.184,0.232,0.188,1580,0.99,0.01,3.09,2886000
1459,28117,MS,"Prentiss County, Mississippi",0.203,5120,1.3,SNAP,1.85,Other Nutrition Program,0.636,0.157,0.206,0.223,1280,1.0,0.0,2.89,2526000
1460,28119,MS,"Quitman County, Mississippi",0.235,1690,1.3,SNAP,1.85,Other Nutrition Program,0.745,0.047,0.209,0.348,590,0.67,0.33,3.04,878000
1461,28121,MS,"Rankin County, Mississippi",0.126,19280,1.3,SNAP,1.85,Other Nutrition Program,0.332,0.166,0.502,0.107,3840,0.78,0.22,3.13,10302000
1462,28123,MS,"Scott County, Mississippi",0.196,5550,1.3,SNAP,1.85,Other Nutrition Program,0.654,0.125,0.221,0.241,1820,0.73,0.27,2.77,2627000
1463,28125,MS,"Sharkey County, Mississippi",0.208,910,1.3,SNAP,1.85,Other Nutrition Program,0.832,0.168,0.0,0.304,330,0.73,0.27,3.1,483000
1464,28127,MS,"Simpson County, Mississippi",0.169,4540,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.165,0.28,0.205,1330,0.75,0.25,2.9,2253000
1465,28129,MS,"Smith County, Mississippi",0.173,2770,1.3,SNAP,1.85,Other Nutrition Program,0.518,0.189,0.294,0.187,710,0.91,0.09,3.03,1433000
1466,28131,MS,"Stone County, Mississippi",0.194,3550,1.3,SNAP,1.85,Other Nutrition Program,0.511,0.245,0.244,0.233,920,1.0,0.0,3.32,2018000
1467,28133,MS,"Sunflower County, Mississippi",0.22,5760,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.35,0.0,0.316,1890,0.61,0.39,3.01,2966000
1468,28135,MS,"Tallahatchie County, Mississippi",0.203,2870,1.3,SNAP,1.85,Other Nutrition Program,0.596,0.046,0.358,0.285,800,0.64,0.36,3.05,1498000
1469,28137,MS,"Tate County, Mississippi",0.165,4680,1.3,SNAP,1.85,Other Nutrition Program,0.493,0.175,0.332,0.202,1330,0.89,0.11,3.05,2444000
1470,28139,MS,"Tippah County, Mississippi",0.191,4210,1.3,SNAP,1.85,Other Nutrition Program,0.604,0.172,0.224,0.21,1130,1.0,0.0,2.79,2006000
1471,28141,MS,"Tishomingo County, Mississippi",0.204,3970,1.3,SNAP,1.85,Other Nutrition Program,0.572,0.248,0.181,0.184,780,1.0,0.0,2.88,1955000
1472,28143,MS,"Tunica County, Mississippi",0.184,1840,1.3,SNAP,1.85,Other Nutrition Program,0.731,0.027,0.242,0.263,780,0.57,0.43,3.16,995000
1473,28145,MS,"Union County, Mississippi",0.171,4870,1.3,SNAP,1.85,Other Nutrition Program,0.454,0.239,0.307,0.172,1230,0.95,0.06,3.03,2521000
1474,28147,MS,"Walthall County, Mississippi",0.192,2780,1.3,SNAP,1.85,Other Nutrition Program,0.697,0.055,0.247,0.237,800,0.73,0.27,3.02,1435000
1475,28149,MS,"Warren County, Mississippi",0.177,8220,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.072,0.31,0.234,2610,0.66,0.34,3.18,4473000
1476,28151,MS,"Washington County, Mississippi",0.24,11070,1.3,SNAP,1.85,Other Nutrition Program,0.775,0.004,0.221,0.346,4160,0.62,0.38,3.16,5972000
1477,28153,MS,"Wayne County, Mississippi",0.184,3750,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.21,0.221,0.238,1200,0.82,0.19,3.05,1958000
1478,28155,MS,"Webster County, Mississippi",0.199,1940,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.056,0.376,0.253,590,0.75,0.26,3.16,1047000
1479,28157,MS,"Wilkinson County, Mississippi",0.24,2130,1.3,SNAP,1.85,Other Nutrition Program,0.66,0.036,0.304,0.382,730,0.62,0.38,3.12,1136000
1480,28159,MS,"Winston County, Mississippi",0.191,3490,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.15,0.236,0.268,1090,0.7,0.31,3.12,1862000
1481,28161,MS,"Yalobusha County, Mississippi",0.171,2110,1.3,SNAP,1.85,Other Nutrition Program,0.535,0.161,0.304,0.225,630,0.73,0.28,3.31,1194000
1482,28163,MS,"Yazoo County, Mississippi",0.225,6420,1.3,SNAP,1.85,Other Nutrition Program,0.606,0.046,0.348,0.318,2020,0.62,0.38,3.14,3448000
